MotorPowerKw,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
70,200,61.2,0,1449.05
70.13,200,60.1,3.2,1450.37
70.26,200,62.1,6.4,1450.88
70.38,201,58.5,9.6,1450.38
70.51,201,56.7,12.8,1449.52
70.63,201,61.3,16,1451
70.76,201,59.4,19.2,1448.25
70.88,201,59.2,22.4,1450.58
70.99,201,59.6,25.6,1451.06
71.11,202,61.2,28.8,1451.36
71.22,202,60.4,32,1451.62
71.33,202,59.4,35.2,1449.49
71.43,202,58.3,38.4,1450.73
71.54,202,61.7,41.6,1447.5
71.63,202,60.2,44.8,1449.88
71.72,202,57.7,48,1450.1
71.81,202,62.2,51.2,1449.97
71.89,203,61.1,54.4,1450.22
71.97,203,55.7,57.6,1448.98
72.04,203,59.5,60.8,1449.7
72.1,203,59.6,64,1451.36
72.16,203,62.9,67.2,1451.52
72.21,203,59.5,70.4,1451.32
72.26,203,59.7,73.6,1449.87
72.3,203,60.1,76.8,1448.26
72.33,203,58.7,80,1450.17
72.36,203,59.9,83.2,1450.03
72.38,203,60.8,86.4,1448.25
72.39,203,60.7,89.6,1449.96
72.4,203,60.9,92.8,1449.08
72.4,203,58.2,96,1450.26
72.39,203,59.9,99.2,1451.62
72.38,203,59.9,102.4,1450.23
72.36,203,59.2,105.6,1449.16
72.33,203,59.3,108.8,1447.55
72.29,203,59.7,112,1448.45
72.25,203,62.4,115.2,1449.8
72.21,203,62,118.4,1449.73
72.15,203,60.4,121.6,1451.14
72.09,203,62.4,124.8,1448.87
72.03,203,58.8,128,1449.66
71.95,203,57.6,131.2,1449.19
71.88,203,60.1,134.4,1450.4
71.8,202,60.8,137.6,1448.99
71.71,202,59.9,140.8,1453.55
71.62,202,61.3,144,1451.4
71.52,202,61,147.2,1450.38
71.42,202,60,150.4,1450.08
71.31,202,59.2,153.6,1452.64
71.2,202,60.9,156.8,1451.43
71.09,201,59.9,160,1450.43
70.97,201,60.6,163.2,1448.56
70.86,201,61,166.4,1450.02
70.73,201,58.2,169.6,1447.95
70.61,201,59.5,172.8,1450.04
70.49,201,61.8,176,1452.15
70.36,200,60.8,179.2,1451.14
70.23,200,60.4,182.4,1450.7
70.11,200,59.4,185.6,1449.29
69.98,200,59.7,188.8,1448.77
69.85,200,61.3,192,1448.35
69.72,200,61.9,195.2,1449.2
69.59,199,61,198.4,1451.53
69.47,199,59.8,201.6,1452
69.34,199,58.9,204.8,1448.06
69.22,199,60.9,208,1451.72
69.1,199,62.2,211.2,1450.07
68.98,199,60.7,214.4,1452.03
68.87,198,58.8,217.6,1451.39
68.76,198,60.2,220.8,1451.47
68.65,198,59.9,224,1448.63
68.55,198,58.2,227.2,1449.94
68.45,198,58.6,230.4,1448.07
68.35,198,61.2,233.6,1449.5
68.26,198,60.9,236.8,1450.05
68.18,198,60.4,240,1446.67
68.09,197,58.3,243.2,1449.97
68.02,197,61,246.4,1449.33
67.95,197,60.3,249.6,1451.4
67.89,197,58.8,252.8,1449.61
67.83,197,61.6,256,1449.46
67.78,197,58.3,259.2,1451.99
67.73,197,59.1,262.4,1450.12
67.69,197,60.6,265.6,1450.16
67.66,197,60.7,268.8,1450.09
67.64,197,58.7,272,1450.44
67.62,197,59.8,275.2,1448.79
67.61,197,61.4,278.4,1447.64
67.6,197,60.9,281.6,1449.45
67.6,197,60.5,284.8,1448.52
67.61,197,59,288,1451
67.63,197,61,291.2,1449.47
67.65,197,60.6,294.4,1449.88
67.68,197,59.9,297.6,1451.33
67.71,197,62.7,300.8,1448.52
67.75,197,57.7,304,1449.24
67.8,197,60.8,307.2,1449.87
67.86,197,62.1,310.4,1448.51
67.92,197,59.9,313.6,1450.54
67.99,197,59.8,316.8,1449.01
68.06,197,59.6,320,1449.17
68.14,197,60.4,323.2,1451.29
68.22,198,59.3,326.4,1448.58
68.31,198,61.2,329.6,1449.16
68.4,198,61.8,332.8,1451.45
68.5,198,59.4,336,1449.79
68.6,198,61.5,339.2,1448.77
68.71,198,61.1,342.4,1450.02
68.82,198,60.9,345.6,1448.81
68.93,199,58.9,348.8,1450.9
69.05,199,59.4,352,1449.06
69.17,199,60.9,355.2,1451.41
69.29,199,62,358.4,1450.32
69.41,199,58.8,361.6,1448.04
69.54,199,58.8,364.8,1451.14
69.66,200,61.6,368,1450.23
69.79,200,59.4,371.2,1451.72
69.92,200,60.8,374.4,1450.14
70.05,200,60.4,377.6,1449
70.17,200,61.2,380.8,1451.47
70.3,200,59.7,384,1451.62
70.43,201,60.2,387.2,1450
70.55,201,61.4,390.4,1448.32
70.68,201,60.4,393.6,1451.56
70.8,201,58.7,396.8,1450.76
70.92,201,59.3,400,1449.96
71.04,201,59.7,403.2,1447.39
71.15,202,61.5,406.4,1449.6
71.26,202,59,409.6,1452.34
71.37,202,59.1,412.8,1451.26
71.47,202,58.9,416,1447.73
71.57,202,59.9,419.2,1446.26
71.66,202,61.2,422.4,1450.74
71.75,202,58.5,425.6,1450.09
71.84,202,60.7,428.8,1447.79
71.92,203,58.7,432,1451.83
71.99,203,62,435.2,1447.83
72.06,203,58.9,438.4,1450.67
72.12,203,58.3,441.6,1451.4
72.18,203,58.8,444.8,1452.19
72.23,203,57.4,448,1454.62
72.28,203,61.2,451.2,1450.69
72.31,203,58.3,454.4,1448.71
72.34,203,57.1,457.6,1450.98
72.37,203,59.2,460.8,1452.53
72.39,203,61.7,464,1447.93
72.4,203,59.7,467.2,1448.06
72.4,203,63.4,470.4,1446.68
72.4,203,60.4,473.6,1450.27
72.39,203,58.7,476.8,1448.02
72.37,203,60.2,480,1449.46
72.35,203,61.1,483.2,1453.34
72.32,203,59,486.4,1448.8
72.28,203,58.7,489.6,1450.96
72.24,203,59.9,492.8,1449.93
72.19,203,56.6,496,1450.03
72.13,203,60.9,499.2,1448.09
72.07,203,59.1,502.4,1451.48
72,203,60.9,505.6,1451.21
71.93,203,59,508.8,1449.29
71.85,203,60.2,512,1450.19
71.76,202,59.6,515.2,1448.74
71.68,202,59.3,518.4,1448.73
71.58,202,59.5,521.6,1451.33
71.48,202,60.6,524.8,1452.03
71.38,202,61.8,528,1450.4
71.27,202,56.1,531.2,1451.18
71.16,202,60,534.4,1450.41
71.05,201,57.3,537.6,1450.32
70.93,201,57.9,540.8,1449.14
70.81,201,58.2,544,1450.57
70.69,201,59.4,547.2,1448.49
70.57,201,60.3,550.4,1451.55
70.44,201,60.3,553.6,1450.18
70.32,200,59.8,556.8,1448.13
70.19,200,59.6,560,1451.08
70.06,200,60.7,563.2,1448.93
69.93,200,58.7,566.4,1448.11
69.8,200,58.3,569.6,1449.64
69.68,200,59.7,572.8,1450.58
69.55,199,57.3,576,1447.99
69.43,199,59.1,579.2,1448.06
69.3,199,58,582.4,1451.99
69.18,199,60.4,585.6,1450.25
69.06,199,60.2,588.8,1450.36
68.94,199,58.6,592,1450.87
68.83,198,61.9,595.2,1450.35
68.72,198,59.5,598.4,1451.05
68.61,198,60.5,601.6,1450.15
68.51,198,58.8,604.8,1451.25
68.41,198,59.2,608,1451.46
68.32,198,59.9,611.2,1446.85
68.23,198,62.2,614.4,1452.5
68.15,197,62.8,617.6,1448.82
68.07,197,57.4,620.8,1449.93
67.99,197,60.2,624,1448.79
67.93,197,61.8,627.2,1452.07
67.87,197,59.5,630.4,1450.32
67.81,197,61.9,633.6,1448.82
67.76,197,60,636.8,1451.07
67.72,197,60.2,640,1451.45
67.68,197,60.9,643.2,1450.6
67.65,197,57.7,646.4,1446.8
67.63,197,61.4,649.6,1450.55
67.61,197,62.1,652.8,1448.61
67.6,197,60.9,656,1448.71
67.6,197,61.6,659.2,1447.78
67.6,197,60.4,662.4,1449.04
67.62,197,58.8,665.6,1448.85
67.63,197,61.7,668.8,1449.51
67.66,197,58.6,672,1451.02
67.69,197,59.1,675.2,1450.85
67.73,197,57.7,678.4,1449.47
67.77,197,58.6,681.6,1448.46
67.82,197,58.6,684.8,1449.39
67.88,197,61.4,688,1450.96
67.94,197,59.3,691.2,1450.67
68.01,197,59.7,694.4,1449.22
68.09,197,61.2,697.6,1450.85
68.17,198,60.6,700.8,1449.24
68.25,198,60.2,704,1450.77
68.34,198,60.7,707.2,1447.88
68.44,198,61.1,710.4,1450.92
68.53,198,61.6,713.6,1451.78
68.64,198,60.6,716.8,1452.4
68.75,198,61.6,720,1448.84
68.86,198,58.1,723.2,1449.42
68.97,199,61.2,726.4,1449.87
69.09,199,59.7,729.6,1449.97
69.21,199,60.2,732.8,1448.58
69.33,199,62.1,736,1452.86
69.45,199,59.4,739.2,1451.71
69.58,199,60.3,742.4,1451.08
69.71,200,60.1,745.6,1448.13
69.83,200,57.5,748.8,1449.2
69.96,200,59.6,752,1449.5
70.09,200,60.8,755.2,1449.41
70.22,200,61.4,758.4,1448.95
70.35,200,60.6,761.6,1448.31
70.47,201,61,764.8,1448.69
