MotorPowerKw,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
70,200,60,0,1450.3
70.13,200,59.1,3.2,1450.73
70.26,200,60.6,6.4,1453.25
70.38,201,60.8,9.6,1448.95
70.51,201,59.4,12.8,1449.25
70.63,201,59.5,16,1450.57
70.76,201,62,19.2,1451.81
70.88,201,63.2,22.4,1446.93
70.99,201,59.3,25.6,1450.68
71.11,202,58.1,28.8,1452.96
71.22,202,58.8,32,1449.25
71.33,202,60,35.2,1448.61
71.43,202,61.7,38.4,1447.57
71.54,202,60.9,41.6,1449.43
71.63,202,59.1,44.8,1450.91
71.72,202,57.6,48,1449.54
71.81,202,58.9,51.2,1451.39
71.89,203,58.3,54.4,1452.01
71.97,203,58.5,57.6,1452.31
72.04,203,57.3,60.8,1449.64
72.1,203,60.3,64,1451.51
72.16,203,60.6,67.2,1449.25
72.21,203,60.9,70.4,1449.7
72.26,203,60.7,73.6,1448.27
72.3,203,59.7,76.8,1449.83
72.33,203,59,80,1452.24
72.36,203,62.6,83.2,1449.96
72.38,203,59.1,86.4,1448.15
72.39,203,60,89.6,1450.15
72.4,203,60.2,92.8,1451.53
72.4,203,58.6,96,1450.38
72.39,203,61,99.2,1449.12
72.38,203,59.6,102.4,1449.25
72.36,203,60,105.6,1449.8
72.33,203,60.2,108.8,1448.42
72.29,203,60.5,112,1451.81
72.25,203,60.4,115.2,1450.67
72.21,203,60,118.4,1452.64
72.15,203,60.9,121.6,1447.41
72.09,203,59.4,124.8,1451.3
72.03,203,58.8,128,1451.49
71.95,203,58.5,131.2,1449.65
71.88,203,59.4,134.4,1451.08
71.8,202,58.2,137.6,1450.72
71.71,202,61.6,140.8,1450.61
71.62,202,58,144,1448.12
71.52,202,60.4,147.2,1450.24
71.42,202,58.8,150.4,1449.91
71.31,202,58.9,153.6,1450.81
71.2,202,60.5,156.8,1451.57
71.09,201,58.2,160,1447.84
70.97,201,61.3,163.2,1448.52
70.86,201,61.1,166.4,1450.17
70.73,201,59.4,169.6,1451.1
70.61,201,60.9,172.8,1450.75
70.49,201,59.3,176,1450.58
70.36,200,59.1,179.2,1450.95
70.23,200,60.4,182.4,1448.97
70.11,200,61.3,185.6,1450.43
69.98,200,58.8,188.8,1449.08
69.85,200,59.5,192,1450.14
69.72,200,60,195.2,1449.28
69.59,199,59,198.4,1451.07
69.47,199,60.1,201.6,1451.06
69.34,199,59.8,204.8,1447.55
69.22,199,58.9,208,1452.25
69.1,199,62.3,211.2,1451.06
68.98,199,59.1,214.4,1450.9
68.87,198,60.5,217.6,1451.13
68.76,198,59.5,220.8,1449.21
68.65,198,59.5,224,1450.23
68.55,198,61.4,227.2,1447.46
68.45,198,59.1,230.4,1447.94
68.35,198,60.1,233.6,1450.27
68.26,198,61.6,236.8,1448.88
68.18,198,61.4,240,1450.88
68.09,197,60.1,243.2,1450.5
68.02,197,61.1,246.4,1447.45
67.95,197,59.9,249.6,1450.11
67.89,197,58.9,252.8,1448.48
67.83,197,59,256,1451.51
67.78,197,60.7,259.2,1453.55
67.73,197,60.1,262.4,1450.86
67.69,197,60.1,265.6,1449.66
67.66,197,61.4,268.8,1450.29
67.64,197,58,272,1449.18
67.62,197,58.8,275.2,1450.21
67.61,197,60.3,278.4,1450.44
67.6,197,60.7,281.6,1451.71
67.6,197,60.8,284.8,1449.32
67.61,197,59.2,288,1446.71
67.63,197,60.8,291.2,1450.68
67.65,197,57.7,294.4,1450.71
67.68,197,59,297.6,1447.56
67.71,197,60,300.8,1450.95
67.75,197,60.8,304,1451.38
67.8,197,60.1,307.2,1451.52
67.86,197,60.6,310.4,1450.45
67.92,197,58.3,313.6,1452.3
67.99,197,60.2,316.8,1448.87
68.06,197,60.9,320,1448.72
68.14,197,59.3,323.2,1451.03
68.22,198,61.3,326.4,1449.08
68.31,198,61.1,329.6,1449.46
68.4,198,60.6,332.8,1449.27
68.5,198,59.5,336,1449.79
68.6,198,60.1,339.2,1447.94
68.71,198,58.4,342.4,1449.74
68.82,198,59.2,345.6,1452.15
68.93,199,59.7,348.8,1450.65
69.05,199,59.8,352,1447.79
69.17,199,58.5,355.2,1449.02
69.29,199,60.1,358.4,1449.62
69.41,199,59.1,361.6,1451.53
69.54,199,62.2,364.8,1448.21
69.66,200,59.6,368,1453.14
69.79,200,59,371.2,1449.9
69.92,200,59.8,374.4,1451.78
70.05,200,61.1,377.6,1448.73
70.17,200,59.2,380.8,1450.63
70.3,200,61.2,384,1451.11
70.43,201,58.5,387.2,1448.74
70.55,201,58.3,390.4,1449.36
70.68,201,60.4,393.6,1452.24
70.8,201,57.1,396.8,1451.58
70.92,201,59.8,400,1448.67
71.04,201,61,403.2,1452.38
71.15,202,60.4,406.4,1451.67
71.26,202,60.6,409.6,1449.77
71.37,202,60.3,412.8,1450.72
71.47,202,62,416,1450.4
71.57,202,60.6,419.2,1450.1
71.66,202,59,422.4,1451.92
71.75,202,61.3,425.6,1450.13
71.84,202,60.6,428.8,1447.33
71.92,203,61.1,432,1450.53
71.99,203,61.2,435.2,1448.78
72.06,203,59.6,438.4,1448.58
72.12,203,60.3,441.6,1451.19
72.18,203,59.9,444.8,1449.36
72.23,203,56.5,448,1450.38
72.28,203,59.7,451.2,1451.03
72.31,203,58.8,454.4,1450.44
72.34,203,61,457.6,1449.53
72.37,203,60.8,460.8,1448.38
72.39,203,60.9,464,1449.08
72.4,203,58.8,467.2,1449.53
72.4,203,59.4,470.4,1451.96
72.4,203,57.6,473.6,1449.74
72.39,203,61.3,476.8,1449.98
72.37,203,61.7,480,1450.02
72.35,203,60.5,483.2,1448.39
72.32,203,59.6,486.4,1449.25
72.28,203,57.8,489.6,1448.37
72.24,203,58.3,492.8,1449.13
72.19,203,60.8,496,1450.6
72.13,203,60.4,499.2,1449.46
72.07,203,60.1,502.4,1449.27
72,203,60.8,505.6,1448.87
71.93,203,58.8,508.8,1451.92
71.85,203,61.4,512,1448.25
71.76,202,58.8,515.2,1450.14
71.68,202,59,518.4,1451.46
71.58,202,57.8,521.6,1448.32
71.48,202,59.5,524.8,1447.58
71.38,202,61,528,1451.3
71.27,202,59.3,531.2,1447.55
71.16,202,59.1,534.4,1448.35
71.05,201,61.7,537.6,1451.71
70.93,201,62.7,540.8,1451.36
70.81,201,60.7,544,1451.64
70.69,201,59,547.2,1451.01
70.57,201,61.1,550.4,1451.47
70.44,201,57.5,553.6,1450.35
70.32,200,57.9,556.8,1449.87
70.19,200,62,560,1450.37
70.06,200,59.1,563.2,1450.44
69.93,200,58.6,566.4,1452.22
69.8,200,59.8,569.6,1449.34
69.68,200,60.1,572.8,1449.57
69.55,199,61.3,576,1451.33
69.43,199,63.2,579.2,1451.81
69.3,199,59.7,582.4,1451.47
69.18,199,60,585.6,1448.76
69.06,199,60.2,588.8,1449.94
