MotorPowerKw,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
70,200,60.7,0,1450.15
70.13,200,58.9,3.2,1448.11
70.26,200,60,6.4,1451.8
70.38,201,58.8,9.6,1451.99
70.51,201,57.6,12.8,1451.91
70.63,201,61.2,16,1451.27
70.76,201,60.5,19.2,1448.41
70.88,201,60,22.4,1449.25
70.99,201,58.9,25.6,1450.35
71.11,202,59.6,28.8,1448.71
71.22,202,60.6,32,1448.05
71.33,202,59,35.2,1451.1
71.43,202,60.9,38.4,1446.85
71.54,202,60.7,41.6,1451.59
71.63,202,61.2,44.8,1448.16
71.72,202,61.3,48,1447.48
71.81,202,58.8,51.2,1449.7
71.89,203,60.6,54.4,1450.09
71.97,203,59.4,57.6,1451.5
72.04,203,61.3,60.8,1448.33
72.1,203,60.8,64,1448.72
72.16,203,58.4,67.2,1451.28
72.21,203,61,70.4,1450.7
72.26,203,60.2,73.6,1451.13
72.3,203,59.7,76.8,1450.15
72.33,203,60.1,80,1452.14
72.36,203,57.4,83.2,1448.25
72.38,203,62.4,86.4,1447.85
72.39,203,60.3,89.6,1450.41
72.4,203,61.9,92.8,1449.87
72.4,203,60.5,96,1448.63
72.39,203,61.6,99.2,1450.38
72.38,203,60.8,102.4,1450.17
72.36,203,62.3,105.6,1453.05
72.33,203,60.2,108.8,1450.62
72.29,203,60.9,112,1448.94
72.25,203,59.3,115.2,1450.35
72.21,203,59.9,118.4,1447.05
72.15,203,61.5,121.6,1450.94
72.09,203,61.7,124.8,1448.59
72.03,203,59.2,128,1449.66
71.95,203,61.1,131.2,1450.22
71.88,203,59.1,134.4,1450
71.8,202,60.5,137.6,1447.02
71.71,202,61.7,140.8,1448.82
71.62,202,59.8,144,1450.36
71.52,202,59.9,147.2,1448.8
71.42,202,58.7,150.4,1451.82
71.31,202,62,153.6,1450.77
71.2,202,58.5,156.8,1451.13
71.09,201,57.7,160,1450.17
70.97,201,58,163.2,1448.4
70.86,201,60.4,166.4,1450.5
70.73,201,60.2,169.6,1450.48
70.61,201,60.9,172.8,1450.3
70.49,201,58.1,176,1450.53
70.36,200,60.3,179.2,1450.23
70.23,200,60.2,182.4,1449.38
70.11,200,58.4,185.6,1447.87
69.98,200,59.4,188.8,1447.5
69.85,200,59,192,1449.68
69.72,200,60.1,195.2,1452.2
69.59,199,58.3,198.4,1450.47
69.47,199,61.2,201.6,1451.04
69.34,199,59.1,204.8,1448.83
69.22,199,62.1,208,1449.49
69.1,199,58.2,211.2,1450.2
68.98,199,60,214.4,1449.2
68.87,198,60.7,217.6,1450.21
68.76,198,59.8,220.8,1450.64
68.65,198,58.2,224,1448.99
68.55,198,62.4,227.2,1451.66
68.45,198,61.1,230.4,1448.77
68.35,198,59.6,233.6,1452.63
68.26,198,58.7,236.8,1450.5
68.18,198,60.3,240,1448.65
68.09,197,61.8,243.2,1449.65
68.02,197,58.9,246.4,1451.02
67.95,197,60.4,249.6,1452.23
67.89,197,56.5,252.8,1451.29
67.83,197,59.5,256,1450.72
67.78,197,59.6,259.2,1451.13
67.73,197,59.7,262.4,1451.94
67.69,197,58.6,265.6,1447.74
67.66,197,60.3,268.8,1450.01
67.64,197,60.4,272,1451.58
67.62,197,60.6,275.2,1449.87
67.61,197,59.4,278.4,1448.2
67.6,197,61.6,281.6,1448.73
67.6,197,59.5,284.8,1449.82
67.61,197,62.1,288,1450.66
67.63,197,60.2,291.2,1450.32
67.65,197,60.9,294.4,1448.39
67.68,197,61.9,297.6,1450.41
67.71,197,62.1,300.8,1451.83
67.75,197,61.8,304,1451.43
67.8,197,60.3,307.2,1450.42
67.86,197,58.3,310.4,1451.42
67.92,197,59.9,313.6,1450.26
67.99,197,59.4,316.8,1452.15
68.06,197,61,320,1449.75
68.14,197,60.8,323.2,1448.96
68.22,198,62,326.4,1447.46
68.31,198,63,329.6,1450.28
68.4,198,59,332.8,1452.71
